datetime,Global CMP22 (vent/cor) [W/m^2],Global CMP22-1 (cor) [W/m^2],Global CMP22-2 (cor) [W/m^2],Global CMP11 (cor) [W/m^2],Global PSP (vent/cor) [W/m^2],Global GPP (cor) [W/m^2],Global Research 1 [W/m^2],Global UVB-1 [W/m^2],Global UV-S-B-T [W/m^2],Global 90-West PSP [W/m^2],Direct CUVB2 [W/m^2]
2019-01-26 07:00:00,24.05065568181818,24.48531181818182,24.32791068181818,24.577782954545455,28.7116975,23.911680227272726,26.327932954545453,0.004409090909090909,0.008431818181818181,15.739468863636365,-9.090909090909092e-05
2019-01-26 08:00:00,125.36743333333334,126.58456500000001,126.32751499999999,127.94010499999999,127.86290833333334,123.549475,129.83008333333333,0.048133333333333334,0.0631,76.24002999999999,0.016116666666666665
2019-01-26 09:00:00,381.4561,383.0124833333333,382.4419833333333,385.0636333333333,363.57081666666664,371.65775,397.2296333333333,0.17656666666666665,0.21401666666666666,199.25888333333333,0.19535
2019-01-26 10:00:00,430.22021666666666,432.7684,432.6365833333333,438.34431666666666,416.9552333333333,426.70166666666665,448.50416666666666,0.31,0.35395,217.49401666666665,0.14935
2019-01-26 11:00:00,541.4839333333333,547.4299666666667,546.6841333333334,554.6391166666667,522.1070666666667,539.96515,536.5391999999999,0.44971666666666665,0.50745,211.02516666666668,0.3551
2019-01-26 12:00:00,582.7948,594.0217666666666,593.7160666666666,603.91485,563.8850666666666,586.4772666666667,598.0411499999999,0.49316666666666664,0.5559,261.50625,0.4598833333333333
2019-01-26 13:00:00,534.77585,542.6269,542.8206833333334,553.0324666666667,517.7832833333333,535.2587,538.3570666666667,0.4011166666666667,0.4608833333333333,454.47985,0.39343333333333336
2019-01-26 14:00:00,422.0681333333333,427.8034,427.5222333333333,434.89933333333335,405.98243333333335,418.2739,413.7447666666667,0.2450166666666667,0.2927,595.612,0.26213333333333333
2019-01-26 15:00:00,281.6116333333333,287.6039666666667,287.2661166666667,291.1656333333333,271.20273333333336,276.7202,286.83545,0.10273333333333333,0.12998333333333334,609.3848166666667,0.11605
2019-01-26 16:00:00,80.62103,83.21575166666666,82.85268166666667,84.245175,80.110805,79.66153333333334,86.12815666666667,0.01705,0.0252,204.48974166666667,0.0044
2019-01-26 17:00:00,11.385237272727274,11.670015454545455,11.657697272727273,11.942625454545453,14.025590909090909,11.613341818181818,14.060392727272728,-0.00045454545454545455,0.0017272727272727272,9.747361818181817,0.0
2019-01-27 07:00:00,67.72371818181819,67.97281363636364,66.59880681818181,65.65533636363637,63.62231818181818,60.73820295454546,69.32877500000001,0.006363636363636364,0.011818181818181818,40.771473863636366,0.00475
2019-01-27 08:00:00,177.22055,178.63066666666666,177.79833333333332,179.83095,171.34803333333332,172.73138333333333,188.49955,0.05445,0.06998333333333333,82.92861333333333,0.03956666666666667
2019-01-27 09:00:00,289.57106666666664,291.8319,291.37305000000003,294.85805,282.80226666666664,285.84798333333333,302.99418333333335,0.1821,0.21261666666666665,123.34559666666668,0.10526666666666666
2019-01-27 10:00:00,244.88715,247.2638,247.36718333333332,251.81886666666665,247.26861666666667,246.12363333333332,257.6542166666667,0.24116666666666667,0.26643333333333336,115.35706,0.013466666666666667
2019-01-27 11:00:00,405.01523333333336,408.71163333333334,408.6129333333333,415.06511666666665,405.91474999999997,405.99798333333337,427.02285,0.40325,0.435,172.5987,0.06416666666666666
2019-01-27 12:00:00,155.15249,156.83727,156.90669,159.71740833333334,157.68035833333334,155.81718333333336,158.9220016666667,0.17766666666666667,0.19686666666666666,77.76295666666667,0.0005
2019-01-27 13:00:00,66.98428166666666,68.18737,68.15117333333333,69.51683666666666,71.32000833333333,67.64326666666666,65.87461,0.07281666666666667,0.0838,48.837070000000004,0.0
2019-01-27 14:00:00,75.94431166666666,77.05379166666667,76.98266166666667,78.15389499999999,81.23595833333334,76.09992166666666,76.91297,0.06771666666666666,0.07921666666666667,60.403845000000004,0.0
2019-01-27 15:00:00,129.43103333333335,131.52301666666668,131.4407,133.42123333333333,135.54413333333335,129.19268333333332,133.84135,0.07751666666666666,0.09208333333333334,155.45661,0.01215
2019-01-27 16:00:00,103.08115333333333,105.69611,104.92464,104.59217166666667,101.82657833333333,99.58748999999999,111.57368666666666,0.017616666666666666,0.025566666666666668,272.9966933333333,0.0161
2019-01-27 17:00:00,10.912878461538462,10.881663076923077,10.744324615384615,9.961183076923078,14.269541538461539,9.951976923076923,16.505715384615385,-0.00046153846153846153,0.0016153846153846155,8.607626923076923,-0.00023076923076923076
2019-01-28 07:00:00,8.1224864,7.975862888888889,7.921386777777777,7.455301466666667,8.161208733333334,7.9184482,5.328632177777777,-0.0004666666666666667,0.0012444444444444445,6.9517037777777775,-0.0003111111111111111
2019-01-28 08:00:00,47.457361666666664,46.1215,46.41922833333333,45.85536666666667,48.84079,46.098364999999994,37.91358833333334,0.019766666666666665,0.02901666666666667,39.8801,-1.6666666666666667e-05
2019-01-28 09:00:00,113.18601333333332,111.23352833333334,112.15229,112.41738000000001,116.31532333333332,111.55599000000001,95.88112500000001,0.08228333333333333,0.10631666666666667,95.547335,0.0
2019-01-28 10:00:00,297.85938333333337,292.2128166666667,295.70284999999996,295.99926666666664,299.34018333333336,295.2667333333333,287.83613333333335,0.2608166666666667,0.3194,236.92816666666667,0.0
2019-01-28 11:00:00,575.6791666666667,585.95155,589.9103,606.2878166666667,566.3529166666667,601.33795,578.09265,0.4658833333333333,0.5586166666666668,416.9198333333333,0.0
2019-01-28 12:00:00,700.1526333333334,712.9069333333333,714.8504333333333,733.6224666666666,680.1961,718.4095833333333,716.5120666666667,0.5513666666666667,0.6624666666666666,490.6026333333333,0.2521
2019-01-28 13:00:00,692.9498666666666,700.1815333333333,699.71275,706.8421,670.5039166666667,688.5817000000001,705.9710333333334,0.50965,0.5722,648.8884166666667,0.38766666666666666
2019-01-28 14:00:00,447.65958333333333,452.4825333333334,452.05196666666666,455.91415,433.4056166666667,441.7137333333333,444.1633166666667,0.27815,0.33046666666666663,631.9763166666667,0.1977833333333333
2019-01-28 15:00:00,284.901315,289.15339,289.26351166666666,288.927215,273.89525,275.73338666666666,284.1245216666667,0.12175,0.15383333333333335,681.7539666666667,0.12536666666666668
2019-01-28 16:00:00,96.76260666666667,102.245715,101.193035,99.27212,94.18945333333333,91.29674666666666,95.03448433333332,0.023366666666666664,0.034416666666666665,466.29906166666666,0.021733333333333334
2019-01-28 17:00:00,9.723044285714286,9.306835714285715,9.287565,8.421581428571429,14.68967142857143,8.768087857142858,7.239635714285714,0.0004285714285714286,0.0025,9.315911428571429,0.0
2019-01-29 07:00:00,55.20883739130434,55.661358695652176,60.5274354347826,69.15628826086957,52.52223695652174,64.76871586956521,53.0608797826087,0.0061304347826086954,0.010956521739130434,43.7139647826087,0.002608695652173913
2019-01-29 08:00:00,216.04556666666667,228.13691666666668,234.50735,282.7970833333333,203.84003333333334,255.60215000000002,225.34196666666668,0.06115,0.08213333333333334,135.07700333333335,0.07014999999999999
2019-01-29 09:00:00,406.93385,407.3809333333333,407.51143333333334,432.4552333333333,386.79703333333333,409.5902666666667,427.49120000000005,0.20468333333333336,0.2481,225.0768,0.18414999999999998
2019-01-29 10:00:00,512.35365,512.9828666666667,512.1233333333333,515.0855333333334,490.2346166666667,502.62028333333336,515.3831666666667,0.3832333333333333,0.44398333333333334,261.6100166666667,0.29746666666666666
2019-01-29 11:00:00,600.00705,606.7478666666667,605.8104833333333,610.1778333333333,578.02185,596.9443,591.4955333333332,0.5317333333333333,0.5994499999999999,277.4996333333333,0.42901666666666666
2019-01-29 12:00:00,607.70985,620.9403333333333,619.4060166666666,625.0314999999999,590.97475,611.0630666666667,629.5416166666668,0.5549833333333333,0.6234833333333333,333.4059833333333,0.43783333333333335
2019-01-29 13:00:00,558.3298333333333,565.2309166666668,563.9333666666666,568.2621666666668,540.9923166666666,552.7911499999999,568.8444333333333,0.45381666666666665,0.5141,525.67915,0.36313333333333336
2019-01-29 14:00:00,452.8566166666667,457.9062333333333,456.5208166666667,458.63873333333333,435.47746666666666,444.47099999999995,445.7214666666667,0.27723333333333333,0.32961666666666667,685.10355,0.2597333333333333
2019-01-29 15:00:00,296.5042666666667,301.5433333333333,301.0442333333333,300.2599833333333,282.8708666666667,286.58715,298.51565,0.1138,0.14545,752.6580833333334,0.14068333333333335
2019-01-29 16:00:00,107.59641166666667,112.60850833333333,111.31634333333334,109.44562333333333,102.71648,101.14170166666666,107.350083,0.022216666666666666,0.033,514.99031,0.023666666666666666
2019-01-29 17:00:00,9.821799333333333,9.392494666666666,9.253186,8.238847999999999,16.00514666666667,8.517914,7.434721333333333,0.0002,0.0028,7.750236,0.0
