,Mean Irradiance,Mean Abs Change,Volatility (Std Dev of Change),Max Step Jump,Relative Variability (%)
Minute-Level,391.87732396334684,20.307609375595305,60.64168652299733,920.0790000000001,5.18213433995347
Hourly-Level,369.17998832935734,126.7901182913975,161.95387200909946,884.99197,34.34371371675866
