Metric,Minute-Level (N=1000),Hourly-Level (N=1000),Ratio (Hourly/Minute)
Variance of Change,535.0737592115416,22848.29638607205,42.70120893190534
Volatility (Std Dev),23.131661401886845,151.15652941924822,6.534616203871911
Mean Abs Change,11.32517987987988,121.9905108279127,10.771617945304246
Max Jump,175.92800000000005,720.6557,4.096310422445545
