datetime,Global CMP22 (vent/cor) [W/m^2],Global UVB-1 [W/m^2],Global 90-West PSP [W/m^2],Direct CUVB2 [W/m^2],day_of_year,sin_doy,cos_doy,hour,sin_hour,cos_hour,Global CMP22 (vent/cor) [W/m^2]_lag1
2019-01-27 07:00:00,67.72371818181819,0.0063636363636363,40.771473863636366,0.00475,27,0.4482293417404106,0.893918596519257,7,0.9659258262890683,-0.25881904510252063,11.385237272727274
2019-01-27 08:00:00,177.22055,0.05445,82.92861333333333,0.0395666666666666,27,0.4482293417404106,0.893918596519257,8,0.8660254037844387,-0.4999999999999998,67.72371818181819
2019-01-27 09:00:00,289.57106666666664,0.1821,123.34559666666668,0.1052666666666666,27,0.4482293417404106,0.893918596519257,9,0.7071067811865476,-0.7071067811865475,177.22055
2019-01-27 10:00:00,244.88715,0.2411666666666666,115.35706,0.0134666666666666,27,0.4482293417404106,0.893918596519257,10,0.49999999999999994,-0.8660254037844387,289.57106666666664
2019-01-27 11:00:00,405.01523333333336,0.40325,172.5987,0.0641666666666666,27,0.4482293417404106,0.893918596519257,11,0.258819045102521,-0.9659258262890682,244.88715
2019-01-27 12:00:00,155.15249,0.1776666666666666,77.76295666666667,0.0005,27,0.4482293417404106,0.893918596519257,12,1.2246467991473532e-16,-1.0,405.01523333333336
2019-01-27 13:00:00,66.98428166666666,0.0728166666666666,48.83707,0.0,27,0.4482293417404106,0.893918596519257,13,-0.2588190451025208,-0.9659258262890683,155.15249
2019-01-27 14:00:00,75.94431166666666,0.0677166666666666,60.403845,0.0,27,0.4482293417404106,0.893918596519257,14,-0.4999999999999997,-0.8660254037844388,66.98428166666666
2019-01-27 15:00:00,129.43103333333335,0.0775166666666666,155.45661,0.01215,27,0.4482293417404106,0.893918596519257,15,-0.7071067811865471,-0.7071067811865479,75.94431166666666
2019-01-27 16:00:00,103.08115333333332,0.0176166666666666,272.9966933333333,0.0161,27,0.4482293417404106,0.893918596519257,16,-0.8660254037844385,-0.5000000000000004,129.43103333333335
2019-01-27 17:00:00,10.912878461538462,-0.0004615384615384,8.607626923076923,-0.0002307692307692,27,0.4482293417404106,0.893918596519257,17,-0.9659258262890683,-0.25881904510252063,103.08115333333332
2019-01-28 07:00:00,8.1224864,-0.0004666666666666,6.9517037777777775,-0.0003111111111111,28,0.4635502709028509,0.886070621534138,7,0.9659258262890683,-0.25881904510252063,10.912878461538462
2019-01-28 08:00:00,47.45736166666666,0.0197666666666666,39.8801,-1.6666666666666667e-05,28,0.4635502709028509,0.886070621534138,8,0.8660254037844387,-0.4999999999999998,8.1224864
2019-01-28 09:00:00,113.18601333333332,0.0822833333333333,95.547335,0.0,28,0.4635502709028509,0.886070621534138,9,0.7071067811865476,-0.7071067811865475,47.45736166666666
2019-01-28 10:00:00,297.85938333333337,0.2608166666666667,236.92816666666667,0.0,28,0.4635502709028509,0.886070621534138,10,0.49999999999999994,-0.8660254037844387,113.18601333333332
