,ANN,ModifiedProEnergy,EWMA,WCMA,StandardProEnergy
mse,401.09314004249364,5434.883086011519,15443.804611010357,9232.694590154097,23183.70992455283
rmse,20.027309855357352,73.7216595446109,124.27310493831864,96.08691164853877,152.26197793458755
mae,15.094371157821946,51.55251530576622,61.050171708891135,51.401726503075324,85.67039212744754
r2,0.9867435579274848,0.820372862041542,0.7977436000806701,0.8792663092092979,0.6958677197231651
